X,Y,OBJECTID,DIRECCION_INCIDENTE,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD,AFECTACIÓN_PERSONAS,FECHA_INCIDENTE__DD_MM_AAAA_,LATITUD,LONGITUD
-74.1001764,4.68035670015373,1,Av Boyacá con Carrera 4,Choque simple,Bus / buseta (1) - Automóvil particular (1),Sin lesionados,2025/05/01 00:00:00+00,4.6803567,-74.1001764
-74.1243762999999,4.61088360015143,2,Transversal 53 con Calle 19 sur,Choque con lesionado,Camioneta (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6108836,-74.1243763
-74.0490756999999,4.67421040015352,3,"Autopista Norte con Calle 92, sentido s→n",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6742104,-74.0490757
-74.1942768,4.6053832001513,4,Calle 71 sur con Carrera 80,Choque con lesionado,Motociclista lesionado (2),Con lesionados,2025/05/01 00:00:00+00,4.6053832,-74.1942768
-74.1248796,4.58873180015075,5,"Carrera 33 con Calle 40B sur, sentido n→s",Choque simple,Taxi (1) - Motocicleta (1),Sin lesionados,2025/05/01 00:00:00+00,4.5887318,-74.1248796
-74.1287483999999,4.68823290015399,6,"Av El Dorado (Calle 26) con Carrera 100, sentido occ→or",Choque simple,Taxi (1) - Automóvil particular (1),Sin lesionados,2025/05/01 00:00:00+00,4.6882329,-74.1287484
-74.1371435,4.67166160015344,7,"Carrera 96C con Calle 21A, sentido s→n",Choque simple,Taxi (1) - Automóvil particular (1),Sin lesionados,2025/05/01 00:00:00+00,4.6716616,-74.1371435
-74.1512994,4.67176230015346,8,Diagonal 16B con Carrera 104,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.6717623,-74.1512994
-74.0944909999999,4.74158670015569,9,Calle 140A con Carrera 102,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.7415867,-74.094491
-74.0973304999999,4.7347244001555,10,Calle 132 con Carrera 102,Choque simple,Bus SITP (1) - Taxi (1),Sin lesionados,2025/05/01 00:00:00+00,4.7347244,-74.0973305
-74.0713969,4.61194090015148,11,Av Centenario (Calle 13) con Carrera 10,Choque simple,Camión (1) - Automóvil particular (1),Sin lesionados,2025/05/01 00:00:00+00,4.6119409,-74.0713969
-74.1001764,4.68035670015373,12,Av Boyacá con Calle 87C sur,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.6803567,-74.1001764
-74.118183,4.65915260015301,13,"NQS con Calle 23, sentido n→s",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6591526,-74.118183
-74.0778692,4.59022940015079,14,NQS con Av Comuneros,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5902294,-74.0778692
-74.0162869,4.6706751001534,15,Vía Bogotá - La Calera con km 2,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6706751,-74.0162869
-74.1559106999999,4.67109830015341,16,Carrera 106 con Calle 15A,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6710983,-74.1559107
-74.0788338,4.67675550015362,17,Carrera 62 con Calle 76,Choque simple,Motocicleta (2),Sin lesionados,2025/05/01 00:00:00+00,4.6767555,-74.0788338
-74.0637705,4.6346591001522,18,"Av Carrera 7 con Calle 48, sentido s→n",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6346591,-74.0637705
-74.0877383,4.64707640015265,19,Carrera 52 con Calle 46 sur,Choque con lesionado,Automóvil particular (1) - Taxi (1) - Conductor lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6470764,-74.0877383
-74.0906125,4.58414750015057,20,Calle 10 con Carrera 11,Choque simple,Camioneta (1) - Taxi (1),Sin lesionados,2025/05/01 00:00:00+00,4.5841475,-74.0906125
-74.0720919999999,4.71098860015473,21,Calle 43 sur con Carrera 77,Choque con lesionado,Camioneta (1) - Motociclista lesionado (1) - Conductor lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.7109886,-74.072092
-74.0634001999999,4.66874270015334,22,"Carrera 24 con Av Calle 80, sentido n→s",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6687427,-74.0634002
-74.0757627,4.65960970015302,23,Carrera 28B con Calle 65,Choque con objeto fijo,Automóvil particular (1) - Señal de tránsito (1),Sin lesionados,2025/05/01 00:00:00+00,4.6596097,-74.0757627
-74.1076198,4.73470050015547,24,Carrera 123 con Calle 129D,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.7347005,-74.1076198
-74.1535739999999,4.68461280015383,25,"Carrera 116 con Calle 18, sentido n→s",Atropello,Automóvil particular (1) - Peatón lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6846128,-74.153574
-74.0903876,4.63433500015219,26,"Av Ciudad de Cali con Av El Dorado (Calle 26), sentido n→s",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) - Acompañante lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.634335,-74.0903876
-74.031592,4.74804400015592,27,Calle 170 con Carrera 9,Choque con lesionado,Motociclista lesionado (2),Con lesionados,2025/05/01 00:00:00+00,4.748044,-74.031592
-74.1378,4.63044000015207,28,"Av Boyacá con Av Américas, sentido n→s",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.63044,-74.1378
-74.0805033999999,4.62728070015197,29,Carrera 29B con Av Chile (Calle 72),Choque con objeto fijo,Automóvil particular (3) - Vivienda (1),Sin lesionados,2025/05/01 00:00:00+00,4.6272807,-74.0805034
-74.0591146,4.64137370015244,30,"Av Circunvalar con Calle 57, sentido n→s",Choque con lesionado,Motocicleta (2) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6413737,-74.0591146
-74.1888648,4.63739010015233,31,Carrera 95A con Calle 85 sur,Autolesionado,Motociclista lesionado (1) - Acompañante lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6373901,-74.1888648
-74.1613272,4.61174850015147,32,"Av Ciudad de Villavicencio con Carrera 78, sentido occ→or",Choque simple,,Sin lesionados,2025/05/01 00:00:00+00,4.6117485,-74.1613272
-74.0559132,4.67441150015355,33,"Calle 88 con Carrera 18, sentido occ→or",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6744115,-74.0559132
-74.0450336,4.75859440015627,34,"Autopista Norte con Calle 191, sentido n→s",Choque simple,Bus SITP (1) - Automóvil particular (1),Sin lesionados,2025/05/01 00:00:00+00,4.7585944,-74.0450336
-74.0636517999999,4.6730152001535,35,Carrera 19 con Calle 85,Choque simple,Automóvil particular (1) - Motocicleta (1),,2025/05/01 00:00:00+00,4.6730152,-74.0636518
-74.0997637999999,4.60413410015126,36,NQS con Calle 4A,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/01 00:00:00+00,4.6041341,-74.0997638
-74.1282146999999,4.68695430015391,37,"Av El Dorado (Calle 26) con Carrera 98, sentido or→occ",Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6869543,-74.1282147
-74.0717084,4.59825030015107,38,Carrera 4 con Calle 12B,Choque con lesionado,Taxi (1) - Vehículo de servicio oficial (1) - Conductor lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5982503,-74.0717084
-74.1092211,4.59794860015104,39,Av Primero de Mayo con Transversal 31,Choque con lesionado,Motocicleta (2) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.5979486,-74.1092211
-74.0547643,4.70693250015459,40,Transversal 5C con Calle 127,Choque objeto fijo con lesionado,Automóvil particular (1) - Andén (1) - Conductor lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.7069325,-74.0547643
-74.0561549999999,4.69534690015422,41,"Autopista Norte con Calle 108, sentido n→s",Choque con lesionado,Taxi (1) - Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6953469,-74.056155
-74.0878288,4.6947594001542,42,Av Ciudad de Cali con Av Calle 80,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/01 00:00:00+00,4.6947594,-74.0878288
