X,Y,FID,siteid,address,location,creationda,name
-74.0431049019098,4.77002349495888,1,1,Autopista norte x calle 192,Usaquen,2021/03/10 00:00:00+00,Autopista norte - calle 192
-74.1057764068246,4.65692579746246,2,5,Avenida calle 26 x carrera 68D,Fontibon,2021/03/10 00:00:00+00,Avenida calle 26 - carrera 68D El Tiempo
-74.137138903141,4.66069889813662,3,9,Calle 17 x Avenida ciudad de Cali,Fontibon,2021/03/15 00:00:00+00,Calle 17 - Avenida ciudad de Cali
-74.0522143021226,4.70630699396133,4,10,Calle 127 x Autopista Norte,Usaquen,2021/03/16 00:00:00+00,Calle 127 - Autopista Norte
-74.0940396040678,4.5752843990922,5,12,Avenida 1 de Mayo x carrera 8A,Antonio Nariño,2021/03/16 00:00:00+00,Avenida 1 de Mayo x carrera 8A
-74.043623700738,4.6697193980217,6,19,Transversal 5 x calle 89 Vía la Calera,Chapinero,2021/03/17 00:00:00+00,Transversal 5 vía la Calera
-74.0270703062415,4.76979189366102,7,20,Carrera 7 x calle 193,Usaquen,2021/03/17 00:00:00+00,Carrera 7 - calle 193
-74.0542147010565,4.70574999600649,8,2,Autopista norte x calle 127,Usaquen,2021/03/10 00:00:00+00,Autopista norte - calle 127 carril lento
-74.0538009032607,4.70810129493475,9,4,Autopista norte x calle 127,Usaquen,2021/03/10 00:00:00+00,Autopista norte - calle 127 carril rápido
-74.1793789044023,4.59681739658117,10,3,Autopista sur x calle 63 sur,Ciudad Bolívar,2021/03/10 00:00:00+00,Autopista Sur - Calle 63 Sur
-74.1049478054047,4.69508159905672,11,13,Calle 72 x Carrera 84Bis,Engativa,2021/03/16 00:00:00+00,Calle 72 - Carrera 84Bis
-74.1246301010251,4.72604769468307,12,14,Calle 80 x Carrera 119,Engativa,2021/03/16 00:00:00+00,Calle 80 - Carrera 119
-74.0940804034472,4.57664739340544,13,16,Carrera 10 x calle 19 sur,Antonio Nariño,2021/03/17 00:00:00+00,Carrera 10 - calle 19 sur
-74.1054386049509,4.69669099897146,14,18,Avenida carrera 86 x calle 72A,Engativa,2021/03/17 00:00:00+00,Avenida carrera 86 - calle 72A
-74.1220321059227,4.63007189333439,15,17,Avenida carrera 68 x calle 8,Puente Aranda,2021/03/17 00:00:00+00,Avenida carrera 68 - calle 8
-74.1717872023582,4.69612389802933,16,11,Calle 17 x Río Bogotá,Fontibon,2021/03/16 00:00:00+00,Calle 17 - Río Bogotá
-74.1251216009259,4.64712769538164,17,8,Calle 13 x Avenida Boyaca,Fontibon,2021/03/15 00:00:00+00,Calle 13 - Avenida Boyacá
-74.1252396032214,4.6506137996912,18,7,Avenida Boyaca x calle 13,Fontibon,2021/03/15 00:00:00+00,Avenida Boyacá - calle 13
-74.1246830001473,4.62928929924965,19,15,Avenida de las Américas x carrera 68D,Kennedy,2021/03/17 00:00:00+00,Calle 9 - Avenida de las Américas
-74.1708887070417,4.62854509800673,20,6,Avenida ciudad de Cali x calle 43 sur,Kennedy,2021/03/15 00:00:00+00,Avenida ciudad de Cali - calle 43 sur
