OBJECTID,NTRCODIGO,NTRNOMBRE,NTRTIPO,NTRMODO,NTRMTRANSP,GLOBALID,Shape__Area,Shape__Length
1,90,PROFAMILIA,2,2,5,68aa8bb8-6088-4858-a19b-92a671be7c17,5.12805513608328e-08,0.00274588736871034
2,141,PUENTELARGO,2,2,5,7536dbcb-b450-43ab-9c60-97b5464a4b61,2.81628160792025e-08,0.0014473275905209
3,108,QUIRIGUA,2,2,5,398b2636-59f7-40ed-99f3-3da9e82c943b,1.74162835264724e-08,0.00103428646716329
4,17,QUIROGA,2,2,5,fbf46ec1-167e-4800-9544-fe0cd245e84c,2.52190375249484e-08,0.00139414784799084
7,30,PATIO BONITO,2,2,5,46b9f8f8-dfa2-4ab6-af4c-4a3ae2e253bc,7.63672289849637e-08,0.0040859210336951
8,144,PEPE SIERRA,2,2,5,d90bcf09-14a7-47ed-ac05-7153507ddff2,3.89216552321159e-08,0.00198954717678416
9,27,PERDOMO,2,2,5,c3963c80-c47c-4da7-a6f5-64472238126f,3.01071736430458e-08,0.00161269799880955
10,127,POLO,2,2,5,2f1aaaf0-79b5-42c8-b368-8e3a41e802fb,1.94621350146917e-08,0.00104003495491812
11,146,PRADO,2,2,5,fc781188-2e17-49b0-9d16-c0477c328f89,4.76475463528914e-08,0.00229545628034307
12,60,PUENTE ARANDA,2,2,5,f69277c5-8309-49a0-832a-2ffb24001d31,2.37337474118249e-08,0.00142361335588671
13,139,SUBA CALLE 100,2,2,5,1e63efd7-1a5e-49c5-b187-6cc30f6dc808,2.83538383882842e-08,0.00144589844199815
14,40,MUNDO AVENTURA,2,2,5,221887ff-fd28-4f1f-a504-6dd4e2f9a2d1,6.73005899898271e-08,0.0042118516558108
15,56,RICAURTE,2,2,5,d53e3475-e445-481e-9cde-e8b75aa62395,8.00426107616659e-08,0.00293659553463203
17,129,RIONEGRO,2,2,5,a7969099-4204-4720-a222-a06fe2ff5914,2.81358154552436e-08,0.00143953456289475
18,128,SAN MARTIN,2,2,5,2b0fbb88-637f-4df7-aef5-f500233940d6,2.82960286313028e-08,0.00144863339986717
19,31,BIBLIOTECA TINTAL,2,2,5,bd76d528-42f8-470c-9d30-d9ce3285f4c6,8.3777621284753e-08,0.00422279783708923
20,112,BOYACA,2,2,5,3efa4295-83f0-4084-81a1-65ab34c2475e,2.14918998153735e-08,0.0010428006739852
21,84,CAD,2,2,5,20fa0292-4163-4bc8-8841-2a26eb9c6c78,3.76355160369712e-08,0.00214016220922654
